怪物特殊0002(886),0x0142C64A
武者：烈(3840),0x01F526E6
斗魂：烈(3839),0x01F52AB0
兵鉴：烈(3838),0x01F53062
临玄：烈(3837),0x01F53414
武者：武(3836),0x01F536E6
斗魂：武(3835),0x01F53AE8
兵鉴：武(3834),0x01F540C0
临玄：武(3833),0x01F544FE
将军令：昊(3832),0x01F547D0
关山月：昊(3831),0x01F54D2A
凤求凰：昊(3830),0x01F54FFC
龙翔操：昊(3829),0x01F553BE
七里香：昊(3828),0x01F55838
八蛛矛：昊(3827),0x01F55D52
五行遁：昊(3826),0x01F56116
六觉身：昊(3825),0x01F56548
四濯：昊(3824),0x01F56924
三叹：昊(3823),0x01F56C70
双娇：昊(3822),0x01F56FD4
孤星：昊(3821),0x01F5735C
斗神祭：昊(3820),0x01F57688
天雷落：昊(3819),0x01F57A34
鬼斧袭：昊(3818),0x01F57ED4
血魂震：昊(3817),0x01F5818E
离恨戈II-激活效果(3816),0x01F58572
杀破狼II-激活效果(3815),0x01F587AC
亢龙击II(3813),0x01F58CA8
玄魂甲II(3811),0x01F597B0
星河陨II(3810),0x01F59C5C
天脉者II(3807),0x01F5A7E6
闪神诀II(3806),0x01F5AB94
血魂劫II(3805),0x01F7DE00
幽击：焚(3804),0x01F7E320
碎刃：焚(3803),0x01F7E834
沙铠：焚(3802),0x01F7EC6E
逆魔：焚(3801),0x01F7F0D8
曾记否：焚(3800),0x01F7F7F6
再回首：焚(3799),0x01F7FC48
晚来秋：焚(3798),0x01F8014E
几多愁：焚(3797),0x01F805D2
舍身大愿：焚(3796),0x01F80B2E
轮回幻境：焚(3795),0x01F810C4
天外佛光：焚(3794),0x01F814BA
破魔迦蓝：焚(3793),0x01F81966
空返：焚(3792),0x01F820A4
九变：焚(3791),0x01F826C0
奈何：焚(3790),0x01F829C8
龙啸：焚(3789),0x01F82DDA
五雷天劫：焚(3788),0x01F83296
太阴冰咒：焚(3787),0x01F837CC
幻光圣天：焚(3786),0x01F83C36
八荒真火：焚(3785),0x01F8412C
鬼神通：暗(3784),0x01F84556
绝情殇：暗(3783),0x01F84908
山河逆：暗(3782),0x01F84DCA
红尘恨：暗(3781),0x01F85162
鬼神通：妙(3780),0x01F85580
绝情殇：妙(3779),0x01F859E0
山河逆：妙(3778),0x01F85E16
红尘恨：妙(3777),0x01F861DA
鬼神通：梵(3776),0x01F865F8
绝情殇：梵(3775),0x01F869AE
山河逆：梵(3774),0x01F86E6A
红尘恨：梵(3773),0x01F87292
鬼神通：霸(3772),0x01F876BA
绝情殇：霸(3771),0x01F87A52
山河逆：霸(3770),0x01F87F14
红尘恨：霸(3769),0x01F882CE
鬼神通：玄(3768),0x01F88732
绝情殇：玄(3767),0x01F88B02
山河逆：玄(3766),0x01F88F38
红尘恨：玄(3765),0x01F892F2
鬼神通：焚(3764),0x01F89710
绝情殇：焚(3763),0x01F89AE0
山河逆：焚(3762),0x01F89FC0
红尘恨：焚(3761),0x01F8A390
炽炎千里II(3755),0x01F8CC2E
炎兵炙魂II(3754),0x01F8D0C8
火猎护主II(3753),0x01F8D974
玄阳火典II(3750),0x01F8E428
离恨戈II(3743),0x01F8F65C
鬼阎罗II(3742),0x01F8FA2C
杀破狼II(3741),0x01FB1538
血魂祭(3740),0x01FB1A80
焚香副本伤害加深(3739),0x01FB1CDE
焚香副本降低最小攻击百分比(3738),0x01FB1F8C
焚香副本黑暗减速效果(3736),0x01FB2542
焚香谷副本群秒技能(3735),0x01FB28F2
八凶玄火(3734),0x01FB2C0E
焚香玉册(3733),0x01FB3234
太渊业海(3732),0x01FB3778
南巫天火(3731),0x01FB3C54
鬼神气(3730),0x01FB3FFC
伏羲魂-激活定身效果(3729),0x01FB43B2
伏羲魂-激活昏睡效果(3728),0x01FB4694
伏羲魂-激活虚弱效果(3727),0x01FB4908
伏羲魂-激活魅惑效果(3726),0x01FB4BB4
伏羲魂(3725),0x01FB4F0C
乾坤荡(3724),0x01FB56A2
三生判(3723),0x01FB5A4A
焚香副本变身BUFF(3722),0x01FB5D52
焚香召唤火龙技3(3721),0x01FB6B42
焚香召唤火龙技2(3720),0x01FB6E60
焚香召唤火龙技1(3719),0x01FB737E
焚香召唤火兽技1(3718),0x01FB764E
焚香召唤业火技1(3717),0x01FB79DA
焚香副本怪群魅(3716),0x01FB814E
焚香副本怪群晕(3715),0x01FB8406
焚香副本怪群睡(3714),0x01FB86BE
减少气血上限(3713),0x01FB8994
蛊毒(3712),0x01FB8D62
唯我独尊(3711),0x01FB908A
封神伏羲魂禅-免疫负面效果(3642),0x01FE20B8
封神伏羲魂-昏睡激活效果 (3641),0x01FE238A
封神伏羲魂-虚弱激活效果(3640),0x01FE2634
封神伏羲魂-魅惑激活效果(3639),0x01FE28FE
生死祭-激活效果(3616),0x01FE596E
玄魂甲-激活效果(3614),0x01FE5F1E
离恨戈-激活效果(3610),0x020011B2
寂灭道-激活效果(3609),0x020014F6
八凶阵法(3608),0x020018A6
霸邪阵法(3605),0x02002344
天守阵法(3604),0x02002A4E
龙虎斗-激活效果(3603),0x02002DA2
灵原一级提速(3596),0x020045F2
三生判<禅>激活效果(3593),0x02005FEA
乾坤荡<禅>(3592),0x020065CC
天地绝禅-清除自身技能效果(3589),0x02007DBE
乾坤荡<煞>(3588),0x020082A2
三生判<煞>(3587),0x020087E6
封神伏羲魂-定身激活效果(3586),0x02008DE8
三生判<禅>(3583),0x0200A5B8
太渊业海<禅>(3580),0x0200BE72
太渊业海<煞>(3576),0x0200DE60
乾坤荡<玄>(3574),0x0200EBE4
三生判<玄>(3573),0x0200F162
太渊业海<玄>(3570),0x020109D4
伏羲魂-激活虚弱效果(3500),0x0203893A
乾坤荡(3499),0x02038DB2
三生判(3498),0x020393E6
虚空断(3497),0x02039866
流光阵(3495),0x0203A268
鬼阎罗(3493),0x0203AD14
伏羲决-定身激活效果(3491),0x0203B37C
星河陨(3490),0x0203B7F6
奔雷闪(3489),0x0203BEB2
滔天劲(3488),0x0203C1B8
入漩(7005),0x02059660
鱼歌(7004),0x0205987A
赤乌·撑花照影·曦日(6994),0x0205A85C
赤乌·撑花照影·皓月(6993),0x0205AFA6
赤乌·撑花照影·萤矩(6992),0x0205B6F0
赤乌·寒影初回·曦日(6982),0x0205CC02
赤乌·寒影初回·皓月(6981),0x0205D154
赤乌·寒影初回·萤矩(6980),0x0205D6A6
赤乌·暗箭藏锋·曦日(6970),0x0205E9C0
赤乌·暗箭藏锋·皓月(6969),0x0205EF08
赤乌·暗箭藏锋·萤矩(6968),0x0205F450
赤乌·固若金汤·曦日(6958),0x02060760
赤乌·固若金汤·皓月(6957),0x02060C40
赤乌·固若金汤·萤矩(6956),0x02061120
赤乌·文心雕龙·曦日(6946),0x020623C8
赤乌·文心雕龙·皓月(6945),0x0206285E
赤乌·文心雕龙·萤矩(6944),0x02062CF4
闪神诀(3484),0x0207EE48
亢龙击(3483),0x0207F354
伏羲决-魅惑激活效果(3481),0x0207FB78
血魂劫(3480),0x0208000C
灭世度(3479),0x02080604
雷霆击(3478),0x0208087C
空行(3475),0x0208170A
千机引(3474),0x02081C10
离恨戈(3473),0x02081FF4
伏羲魂-激活昏睡效果(3471),0x02082696
杀破狼(3470),0x02082A12
搜魂手(3469),0x020830B8
连环落(3468),0x020834FE
寸地诀(3467),0x0208375E
纵横令(3466),0x02083CE6
醉乾坤(3463),0x020848E2
镇魂歌(3462),0x0208505C
龙虎斗（废）(3459),0x02085C48
风雷击(3458),0x020862BA
神息术(3457),0x02086932
日月斩(3456),0x02086CAC
冲杀(3455),0x02086EE8
炎兵炙魂(3434),0x02090218
御空术(3430),0x02092980
一线天(3426),0x020939CA
烈焰袭(3424),0x02094460
孪星(3366),0x020BB1DC
星火(3364),0x020BB8DC
婚礼buff召唤兽(3359),0x020BC2E8
焚香封神璃龙技能(3357),0x020D70F4
焚香召唤业火技2(3356),0x020D773A
跨服PK04(3351),0x020D8318
跨服PK03(3350),0x020D85A8
跨服PK02(3349),0x020D8852
跨服PK01(3348),0x020D8B6A
焚香囚牢2代技能(3347),0x020D8F5E
焚香囚牢仇恨控制(3346),0x020D91B6
国庆节群百分比燃烧(3344),0x020D97D4
中秋节被抓的兔子(3343),0x020D9AA2
中秋节陷阱怪技能(3342),0x020D9D8E
放置陷阱(3341),0x020DA0DA
降灵术(3340),0x020DA3DE
婚礼召唤兽(3339),0x020DA7F4
测试周用包裹(3338),0x020DAB52
海外用怪物传送(3337),0x020DAE56
庙会活动驱赶灵兽(3335),0x020DB544
千年寒冰(3334),0x020DB866
打回原形(3333),0x020DBB1E
召唤宠物(3332),0x020DBE0C
愚人节固定百分比伤害(3331),0x020DC12A
家族副本主塔嘲讽(3330),0x020DC412
家族副本初始任务变身(3329),0x020DC75C
家族副本回复之泉(3328),0x020DD54C
神引：梅花三弄(3327),0x020DD9D2
琼台雅韵(3326),0x020DDC1C
九霄绝响(3325),0x020DE19C
神引：阳关三叠(3324),0x020DE660
影舞·极(3323),0x020DE866
一闪(3322),0x020DEB82
天诛(3321),0x020DF0FE
无想(3320),0x020DF348
龙须虎(3319),0x020DF714
轮回闪(3318),0x020DFA7C
大羿王(3317),0x020DFF16
三云龙(3316),0x020E02CC
鏖战(3315),0x020E06E0
蚩魂(3314),0x020E0D6A
八肱(3313),0x020E111C
乱刃(3312),0x020E16DA
天选道怨(3311),0x020E193C
邪神傲世(3309),0x020E25E2
灭魂狂飙(3308),0x020E29B8
万象生佛(3307),0x020E2E74
大梵般若(3306),0x020E33D4
无量真言(3305),0x020E37E6
雷音法谕(3304),0x020E3E7C
风花雪月(3303),0x020E4456
怜影(3302),0x020E49BA
惜春(3301),0x020E4DA0
旧梦(3300),0x020E51D2
未名斩(3299),0x020E56F0
毁天灭地(3298),0x020E5B42
狂灵反噬(3297),0x020E5EE4
魔魂天咒(3296),0x020E640E
神剑御雷真诀(3295),0x020E68EC
太极玄天真诀(3294),0x020E6E9A
天尊法身(3293),0x0210A0E2
雷光遁龙诀(3292),0x0210A5D0
家族副本传送门(3291),0x0210A950
溺魔(3289),0x0210B430
嗜血(3288),0x0210B6E4
新主线神族传送(3287),0x0210B998
雪琪的祈愿(3286),0x0210C8A6
碧落凡情(3285),0x0210CC18
鬼厉的愤怒(3283),0x0210D578
新主线用骨蛇变身(3280),0x0210DBAA
香蕉拔蜡(3279),0x0210DF7A
青云-天外飞仙(3278),0x0210E260
通用1(3276),0x0210E73A
怀光-鬼切(3275),0x0210E958
怀光-天诛(3274),0x0210ECBC
天华-神引：梅花三弄(3273),0x0210EF06
天华-升皇音刃(3272),0x0210F168
烈山-三云龙(3271),0x0210F42A
九黎-杀戮(3269),0x0210FA5C
天音-拈花妙谛(3267),0x0211026C
天音-金刚经(3266),0x021105FC
鬼道-灭魂狂飙(3265),0x02110994
鬼道-暴沙漫卷(3264),0x02110D44
合欢-惜春(3263),0x02111062
合欢-缠绵(3262),0x021113E6
鬼王-失魂斩(3259),0x02111A52
鬼王得意技1(3258),0x02111DD2
试炼小怪加血(3257),0x02111FD8
试炼怪物用技能镜(3256),0x0211233A
试炼门派随机刷新控制(3255),0x021126D6
试炼对怪强化BUFF(3254),0x02112A16
试炼对人不利BUFF(3253),0x02112F90
召唤泥怪(3252),0x02113442
召唤雷鸟(3251),0x0211375E
月之守护(3250),0x02113A7A
月之领域(3249),0x02113DC4
液体风暴(3248),0x02114096
雷鸟物语(3247),0x0211442E
召唤鱼人(3246),0x02114780
捕鼠夹技能(3245),0x02114ADE
主线用冰冻(3244),0x02114E94
放置捕鼠夹(3243),0x021152B0
主线用定身buff(3242),0x021155CC
天罗地网(3241),0x021159B0
愚人节固定百分比伤害(3240),0x02115CD6
神秘一击(3239),0x02115FAA
可调海外召唤祝福(3237),0x02116836
可调整单体眩晕(3236),0x02116D80
雪韵淞情(3235),0x02117032
夺回功德香(3234),0x02117418
夺回造化珠(3233),0x02117702
夺回太极金丹(3232),0x021179EC
夺回金叶子(3231),0x02117CD6
白色情人节召唤兽用对F(3230),0x02117FA8
白色情人节召唤兽用对E(3229),0x021381C6
白色情人节召唤兽用对D(3228),0x021384B8
白色情人节召唤兽用对C(3227),0x021387AA
白色情人节召唤兽用对B(3226),0x02138A9C
白色情人节召唤兽用对A(3225),0x02138D8E
玲珑御(3223),0x021392DA
月华之鉴(3222),0x0213961E
召唤人参娃娃(3221),0x021398E4
十方乾坤(3220),0x02139C18
任务奖励孔明灯(3219),0x02139EB8
召唤宠物小猪(3218),0x0213A1D4
任务奖励元宵节召唤兽(3217),0x0213A520
元宵祝福(3216),0x0213A83C
元宵NPC召唤(3215),0x0213AC3A
玉阙玄天(3214),0x0213AF8E
天界-天将超载(3213),0x0213B474
天界-月神-究级(3209),0x0213C1EE
天界-月神-开场(3207),0x0213C920
天界-毒源伤害(3206),0x0213CBF2
闭眼(3205),0x0213CF5C
天界-泽-常单(3204),0x0213D256
天界-泽-深渊(3203),0x0213D63A
天界-泽-放逐(3202),0x0213DA1A
天界-泽-泥污(3201),0x0213DFF8
天界-泽-闭眼(3200),0x0213E584
天界-雷光虫吸魂(3194),0x0213F5EC
天界-图腾攻防血(3193),0x0213F936
天界-雷鸟护主回复(3192),0x0213FE4A
天界-雷-终结(3191),0x0214028C
天界-雷-怒雷(3190),0x021406C0
天界-雷-雷击(3189),0x02140ABA
天界-雷-强化(3188),0x02140F3E
天界-毁灭种子自爆(3187),0x02141298
天界-地BOSS触媒(3186),0x021415D6
天界-地-地震(3185),0x021419D8
天界-地-禁食(3184),0x02141DAA
天界-地-毁灭(3183),0x02142044
天界-地-屏障(3182),0x02142394
斗转星移(3181),0x02142726
召唤雪人宠物(3180),0x02142B36
福星高照(3179),0x02142E6A
余音缭绕(3178),0x02143192
魔尊-黑暗术(3177),0x021434C6
种蛊(3176),0x021437E8
鳞片攻击(3175),0x02143AE8
封神印记之电(3174),0x02143DEE
莲华真义(3173),0x0214414A
金光舍利(3172),0x021444CE
诵经(3171),0x0214483A
喂毒(3169),0x02144D90
超度(3168),0x0214506A
解毒(3167),0x02145318
封神群体附加伤害(3166),0x021455C6
封神群体流血(3165),0x02166A7C
渡劫丹(3164),0x02166EC4
射击(3163),0x021672DE
陷阱(3162),0x02167644
勾拳(3161),0x0216798A
直拳(3160),0x02167D1E
摆拳(3159),0x021680B2
坚甲令(3158),0x02168466
龙云千岳(3157),0x0216876E
仙境取宝之传送(3156),0x02168AB2
随机箱子(3155),0x021692FA
仙境取宝怪物减速(3154),0x021695C2
仙境取宝之陷阱(3153),0x02169966
仙境取宝之神佑(3152),0x02169C52
仙境取宝之眩晕(3151),0x02169F2E
仙境取宝之羁縻(3150),0x0216A2C6
仙境取宝之疾风(3149),0x0216A6BC
影舞·极<禅>(3144),0x0216C702
天诛<禅>(3142),0x0216D66C
无想<禅>(3141),0x0216D9D8
乱刃<禅>(3133),0x02171EBA
天选道怨<禅>(3132),0x0217258A
怜影<禅>(3127),0x02175486
旧梦<禅>(3125),0x021763EE
神剑御雷真诀<禅>(3116),0x0217B3AA
太极玄天真诀<禅>(3115),0x0217BB48
雷光遁龙诀<禅>(3113),0x0217C8EA
天诛<煞>(3094),0x021B06FE
无想<煞>(3093),0x021B0A6A
龙须虎<煞>(3092),0x021B11CE
乱刃<煞>(3085),0x021B4E0A
天选道怨<煞>(3084),0x021B55DC
怜影<煞>(3079),0x021B84DA
旧梦<煞>(3077),0x021B9450
神剑御雷真诀<煞>(3068),0x021BE348
太极玄天真诀<煞>(3067),0x021BEABC
雷光遁龙诀<煞>(3065),0x021BF810
影舞·极<玄>(3048),0x021C572A
天诛<玄>(3046),0x021C66B8
无想<玄>(3045),0x021C6A24
龙须虎<玄>(3044),0x021C7130
乱刃<玄>(3037),0x021F8E80
天选道怨<玄>(3036),0x021F9652
怜影<玄>(3031),0x021FC5D2
旧梦<玄>(3029),0x021FD516
神剑御雷真诀<玄>(3020),0x022021FA
太极玄天真诀<玄>(3019),0x022029A4
雷光遁龙诀<玄>(3017),0x0220370E
龙云千岳(3004),0x02208170
御伤诀(3003),0x022084CE
大树用5分钟诅咒(3001),0x022089AA
大树用30分钟增益(3000),0x02208ED0
封神转职-玩家加攻(2998),0x0220962A
封神转职-4大状态(2997),0x02209934
捕捉(2990),0x0220AE40
咆哮烈焰箭(2989),0x0220B126
打回原形(2988),0x0220B484
神秘卡(2986),0x0220BC90
好人卡女(2985),0x0220C236
好人卡男(2984),0x0220C698
友谊卡女(2983),0x0220CAFA
友谊卡男(2982),0x0220CF5C
公主卡女(2981),0x0220D3BE
公主卡男(2980),0x0220D820
王子卡女(2979),0x0220DC82
王子卡男(2978),0x0220E0E4
佳期(2977),0x0220E546
小怪诅咒2(2975),0x0220EA12
火龙流血攻击(2974),0x0220EED6
小怪诅咒(2973),0x02235160
火龙传送玩家(2972),0x022358A4
火龙无敌祝福(2971),0x02235BD2
群体百分比掉血(2970),0x02235E90
追魂(2969),0x022363A4
陨杀(2968),0x0223666C
邪域(2967),0x02236A02
血雾(2966),0x02236E5C
冲撞(2965),0x022372A2
天罡(2964),0x0223755A
烈焰(2963),0x02237996
龙甲(2962),0x02237C9A
LT中级4号电梯(2953),0x02238FA4
LT中级3号电梯(2952),0x02239294
LT中级2号电梯(2951),0x02239584
LT中级1号电梯(2950),0x02239876
斗杀影子版(2948),0x02239E72
变身(2940),0x0223B584
野性驱使(2939),0x0223B9DA
招狼(2937),0x0223C03C
契约(2936),0x0223C388
疾风(2935),0x0223C784
火箭(2934),0x0223CAB6
扫射(2933),0x0223CE12
普攻(2932),0x0223D104
神罚(2931),0x0223D352
金蝉脱壳(2930),0x0223D678
强袭(2929),0x0223D992
天罚(2928),0x0223DD62
挑衅(2927),0x0223E066
攻城(2926),0x0223E414
天火(2925),0x0223E718
投石(2924),0x0223EBC2
撕裂(2923),0x0223EEC6
冲撞(2922),0x0223F18E
震古烁今(2910),0x02240C14
万劫不复(2909),0x0225C8E2
空前绝后(2908),0x0225CE22
在劫难逃(2907),0x0225D3F4
运筹帷幄(2906),0x0225D9C6
暗无天日(2905),0x0225E5CE
只手遮天(2904),0x0225EC68
音律：角(2901),0x0225F62A
音律：宫(2899),0x0225FB04
御驾亲征·生(2898),0x0225FDFE
御驾亲征·稔(2897),0x022600CE
御驾亲征·佑(2896),0x022604FC
御驾亲征·安(2895),0x0226084C
御驾亲征·胧(2894),0x02260BC0
御驾亲征·愈(2893),0x02260F66
御驾亲征·风(2892),0x0226142E
御驾亲征·霖(2891),0x0226186C
曦皇军令(2890),0x02261F3A
凌霄军令(2889),0x02262264
大王军令(2888),0x02262562
七里军令(2887),0x02262870
冷云军令(2886),0x02262B60
小池军令(2885),0x02262E50
山河军令(2884),0x02263112
鸿蒙军令(2883),0x022633D4
神农军令(2882),0x022636B4
修罗军令(2881),0x022639CC
蛮荒军令(2880),0x02263CE4
青云军令(2879),0x02263FF2
天音军令(2878),0x0226433C
河阳军令(2877),0x0226462C
赤乌·玄魂甲·曦日(6934),0x022840E4
赤乌·玄魂甲·皓月(6933),0x022847C4
赤乌·玄魂甲·萤矩(6932),0x02284EA4
赤乌·听仇·曦日(6922),0x022863E8
赤乌·听仇·皓月(6921),0x02286BBE
赤乌·听仇·萤矩(6920),0x02287394
赤乌·虎啸·曦日(6898),0x0228A40E
赤乌·虎啸·皓月(6897),0x0228AA02
赤乌·虎啸·萤矩(6896),0x0228AFF6
赤乌·斗杀·曦日(6886),0x0228C3E6
赤乌·斗杀·皓月(6885),0x0228C6FA
赤乌·斗杀·萤矩(6884),0x0228CA0E
炸弹人2(2827),0x022A9EA8
C4爆炸效果(2818),0x022AE75E
放置炸药(2817),0x022AEA10
无想影子版(2816),0x022AED72
召唤_雪狐_中(2815),0x022AF19C
LT只对特定塔生效的攻城车技能(2813),0x022AF746
饲养神兽9(2812),0x022AFAA6
饲养神兽8(2811),0x022AFDE4
饲养神兽7(2810),0x022B0122
饲养神兽6(2809),0x022B0460
饲养神兽5(2808),0x022B079E
饲养神兽4(2807),0x022B0ADC
怪物技能(2806),0x022B0E1A
草食技能(2805),0x022B119C
肉食技能(2804),0x022B151C
龙舟-加速(2803),0x022B189C
龙舟-减速(2802),0x022B1BD2
赌术之布(2801),0x022B1EE8
赌术之剪(2800),0x022B227C
赌术之石(2799),0x022B2610
剪刀石头布-布(2798),0x022B298C
剪刀石头布-石头(2797),0x022B2D28
剪刀石头布-剪刀(2796),0x022B30C4
新死灵渊-幽灵B(2795),0x022B3478
新死灵渊-幽灵A(2794),0x022B374E
新死灵渊-玄蛇D(2793),0x022B3B36
新死灵渊-玄蛇C(2792),0x022B3DF6
新死灵渊-玄蛇B(2791),0x022B4438
新死灵渊-玄蛇A(2790),0x022B47AA
兽神归来-古猿3(2789),0x022B4AA6
兽神归来-古猿2(2788),0x022B4FE8
兽神归来-古猿1(2787),0x022B5414
兽神归来-仙界圣使4(2786),0x022B5886
兽神归来-仙界圣使3(2785),0x022B5CF0
兽神归来-仙界圣使2(2784),0x022B604C
兽神归来-仙界圣使1(2783),0x022B6432
兽神归来-啸月天狼4(2782),0x022B6794
兽神归来-啸月天狼3(2781),0x022D4DB0
兽神归来-啸月天狼2(2780),0x022D5268
兽神归来-啸月天狼1 (2779),0x022D565C
新死灵渊-自身固定值恢复(2778),0x022D5972
新死灵渊-T7死亡光芒(2777),0x022D5C80
兽神归来-血狮4(2776),0x022D5ED8
兽神归来-血狮3(2775),0x022D636C
兽神归来-血狮2(2774),0x022D671E
兽神归来-血狮1 (2773),0x022D6CA2
兽神归来-饕餮4(2772),0x022D6F7E
兽神归来-饕餮3(2771),0x022D7430
兽神归来-饕餮2(2770),0x022D77D4
兽神归来-饕餮1 (2769),0x022D7C2C
兽神归来-兽神4(2768),0x022D7F3A
兽神归来-兽神3(2767),0x022D82E8
兽神归来-兽神2(2766),0x022D860A
兽神归来-兽神1 (2765),0x022D88D2
返璞归真(2763),0x022D8E1C
领土战塔用嘲讽(2762),0x022D9138
新死灵渊-透明怪爆炸效果(2761),0x022D9434
杀人游戏禁宠物(2760),0x022D963A
新死灵渊-T4祝福(2759),0x022D98EC
新万蝠洞-B10暴击(2758),0x022D9CFC
新万蝠洞-B10自削弱(2757),0x022D9F02
丢手绢-怪物用(2755),0x022DA6CA
新万蝠洞-B2解毒(2754),0x022DAA50
新死灵渊-B3瞬移(2753),0x022DAD18
新死灵渊-B2激怒形态(2752),0x022DB1AC
新死灵渊-T1比例流血(2751),0x022DB652
丢手绢(2749),0x022DC360
领土战-塔群体减速(2748),0x022DC95E
领土战-塔群体虚弱(2747),0x022DCCD0
领土战-塔群体流血(2746),0x022DD038
领土战-塔群体眩晕(2745),0x022DD3E4
领土战-塔通用技能(2744),0x022DD6F6
警察嘲讽(2743),0x022DD976
杀人游戏传送(2742),0x022DDC3C
新万蝠洞-大范围地震伤害(2741),0x022DDF9E
自身圆心的群嘲(2740),0x022DE33E
阵营增加移动速度(2739),0x022DE5B2
新万蝠洞-备用(2738),0x022DE86C
新万蝠洞-B4蛛皇诅咒(2737),0x022DEAFC
新万蝠洞-B4蛛皇祝福(2736),0x022DEFB8
新万蝠洞-B3特殊流血(2735),0x022DF448
新万蝠洞-通用背刺(2734),0x022DF7A0
新万蝠洞-P10地震效果(2733),0x022DFB36
新万蝠洞-B2孪蛇自身狂暴(2732),0x022DFFBE
新万蝠洞-B2孪蛇同伴祝福(2731),0x022E034E
新万蝠洞-B1单体强制睡眠(2730),0x022E0850
新万蝠洞-B1状态控制(2729),0x022E0B5E
阵营增加速度(2728),0x022E0E36
阵营增加回蓝(2727),0x022E1126
阵营增加恢复(2726),0x022E14C2
阵营增加防御(2725),0x022E187C
阵营增加攻击(2724),0x022E1BF2
柳神之辨(2723),0x022E1F82
清明节恶鬼变身(2722),0x022E2218
千变万化(2721),0x022E2524
送请柬(2720),0x022E280C
浩元镇魄(2719),0x022E2AC0
镜花水月II(2718),0x022E2EB8
云水雅韵II(2716),0x023036F2
中平音刃II(2715),0x02303C7C
听霜雅韵II(2714),0x023040EC
牙袭II(2713),0x02304588
猎袭II(2712),0x02304D08
潜袭II(2711),0x02306168
弥纱音刃II(2707),0x02306EB2
清辉音刃II(2706),0x0230726C
天籁：十面埋伏II(2705),0x02307704
神引：紫竹三调II(2704),0x02307CC6
斗杀II(2703),0x02307F90
突杀II(2702),0x023082DE
瞬杀II(2701),0x023087A2
神引：渔阳三挝II(2698),0x02308F1E
济岚音刃II(2697),0x023091E2
昆玉华章II(2696),0x0230969E
红鸾音刃II(2695),0x02309AB6
青冥雅韵II(2694),0x02309F2A
龙切II(2693),0x0230A290
雷切II(2692),0x0230A8A2
鬼切II(2691),0x0230AC66
将军令：华(2688),0x0230B57E
关山月：华(2687),0x0230BA82
凤求凰：华(2686),0x0230BD54
龙翔操：华(2685),0x0230C116
七里香：华(2684),0x0230C504
八蛛矛：华(2683),0x0230C992
五行遁：华(2682),0x0230CD58
六觉身：华(2681),0x0230D1A4
四濯：华(2680),0x0230D548
三叹：华(2679),0x0230D876
双娇：华(2678),0x0230DC2E
孤星：华(2677),0x0230DF62
斗神祭：华(2676),0x0230E1FC
天雷落：华(2675),0x0230E5A8
鬼斧袭：华(2674),0x0230EA4A
血魂震：华(2673),0x0230ED04
将军令：影(2672),0x0230F11A
关山月：影(2671),0x0230F6AA
凤求凰：影(2670),0x0230F97C
龙翔操：影(2669),0x0230FD3E
七里香：影(2668),0x023101B8
八蛛矛：影(2667),0x02310648
五行遁：影(2666),0x02310A0C
六觉身：影(2665),0x02310E58
四濯：影(2664),0x0231121A
三叹：影(2663),0x02311530
双娇：影(2662),0x023118E8
孤星：影(2661),0x02311C1C
斗神祭：影(2660),0x02311F88
天雷落：影(2659),0x02312334
鬼斧袭：影(2658),0x023127D4
血魂震：影(2657),0x02312A8E
将军令：烈(2656),0x02312EBC
关山月：烈(2655),0x023133C0
凤求凰：烈(2654),0x023136E6
龙翔操：烈(2653),0x02333F60
七里香：烈(2652),0x023343DA
八蛛矛：烈(2651),0x02334868
五行遁：烈(2650),0x02334C2C
六觉身：烈(2649),0x02335096
将军令：武(2648),0x023353C8
关山月：武(2647),0x02335922
凤求凰：武(2646),0x02335BF4
龙翔操：武(2645),0x02336042
七里香：武(2644),0x02336430
八蛛矛：武(2643),0x023368BE
五行遁：武(2642),0x02336C82
六觉身：武(2641),0x023370EC
同心之舞(2640),0x0233742A
同心之舞(2639),0x02337660
战士的怒吼(2621),0x0233933A
战士的信念(2607),0x0233AAA2
将军的守护(2602),0x0233B41C
将军的奉献(2601),0x0233B744
天帝宝库-5关变幽魂(2582),0x02356C30
移花接木(2581),0x02357024
滴水成冰(2580),0x0235736E
石破惊天(2579),0x023576B8
乾坤一掷(2578),0x02357A02
炼狱火海(2577),0x02357D4C
天帝宝库-雷电自爆(2576),0x0235807E
天帝宝库-保护罩(2575),0x023585C6
天帝宝库正义小鱼人相思(2574),0x0235898A
天帝宝库-玄蛇b(2522),0x02377CD4
天帝宝库-玄蛇a(2521),0x02378086
伪无量真言(2520),0x02378522
伪天选(2519),0x02378992
伪聚灵(2518),0x02378DDE
伪神剑御雷(2517),0x023790F8
伪江南2(2516),0x0237945E
福星高照(2515),0x0237974E
发装备到包包10(2514),0x02379A92
发装备到包包9(2513),0x02379D80
发装备到包包8(2512),0x0237A06E
发装备到包包7(2511),0x0237A35C
发装备到包包6(2510),0x0237A64A
发装备到包包5(2509),0x0237A938
发装备到包包4(2508),0x0237AC26
发装备到包包3(2507),0x0237AF14
发装备到包包2(2506),0x0237B202
发装备到包包1(2505),0x0237B4F0
反震(2504),0x0237B7C6
天帝宝库-电母(2503),0x0237BBA8
天帝宝库-雷公(2502),0x0237BF78
昆玉华章(2494),0x0237EF24
升皇音刃(2493),0x0237F496
大音希声(2490),0x02380432
